customer_index,predicted_probability,risk_band,decision_at_0_30,actual_default
6907,0.16819653,10–20%,0,0
24575,0.16983388,10–20%,0,0
26766,0.1571446,10–20%,0,0
2156,0.15232573,10–20%,0,1
3179,0.02773306,0–10%,0,0
29382,0.44895273,40–50%,1,0
24454,0.09668061,0–10%,0,0
23886,0.026589653,0–10%,0,0
5504,0.0803879,0–10%,0,0
29720,0.08970455,0–10%,0,0
6908,0.2937164,20–30%,0,0
2159,0.29254112,20–30%,0,0
20842,0.2698637,20–30%,0,1
25128,0.11752633,10–20%,0,0
18808,0.06278517,0–10%,0,0
19077,0.5305864,50–60%,1,0
24731,0.032908905,0–10%,0,0
3054,0.51852405,50–60%,1,1
8488,0.07520092,0–10%,0,0
23921,0.19123003,10–20%,0,0
8787,0.045862235,0–10%,0,0
15139,0.14406441,10–20%,0,1
12738,0.11716399,10–20%,0,0
25031,0.14848116,10–20%,0,0
20339,0.20109564,20–30%,0,1
10308,0.1844413,10–20%,0,0
14601,0.13694641,10–20%,0,0
3591,0.057433147,0–10%,0,0
3560,0.8202548,80–90%,1,1
24890,0.46773332,40–50%,1,0
27481,0.22037125,20–30%,0,1
10271,0.13277453,10–20%,0,0
16625,0.7844181,70–80%,1,1
26720,0.1410842,10–20%,0,0
25615,0.0975465,0–10%,0,0
8312,0.10449695,10–20%,0,0
12179,0.077117,0–10%,0,0
1559,0.10274155,10–20%,0,1
6133,0.092074506,0–10%,0,0
24412,0.5000764,50–60%,1,1
24095,0.117737755,10–20%,0,0
29295,0.6789341,60–70%,1,0
5519,0.21667403,20–30%,0,0
6849,0.11485303,10–20%,0,0
12313,0.108400196,10–20%,0,0
24061,0.08617543,0–10%,0,0
14989,0.11666213,10–20%,0,0
28442,0.6571635,60–70%,1,0
14701,0.09726879,0–10%,0,0
27685,0.23839921,20–30%,0,0
29568,0.34408578,30–40%,1,0
28884,0.06402766,0–10%,0,0
2421,0.75833267,70–80%,1,1
9006,0.7116842,70–80%,1,1
20660,0.18037163,10–20%,0,1
20333,0.043954153,0–10%,0,0
26443,0.17112914,10–20%,0,0
10955,0.03834232,0–10%,0,0
18159,0.0347807,0–10%,0,0
12066,0.7840944,70–80%,1,1
13425,0.13687485,10–20%,0,0
9385,0.6134293,60–70%,1,1
27184,0.29144153,20–30%,0,1
22387,0.081949,0–10%,0,0
21906,0.18776259,10–20%,0,0
7001,0.08389449,0–10%,0,0
6744,0.37352505,30–40%,1,1
17778,0.36155114,30–40%,1,0
23307,0.05551329,0–10%,0,1
22442,0.090169266,0–10%,0,1
21143,0.14428288,10–20%,0,1
27796,0.093338184,0–10%,0,0
22407,0.029090878,0–10%,0,0
9492,0.4559299,40–50%,1,1
29958,0.08946487,0–10%,0,0
7438,0.22555013,20–30%,0,0
18922,0.102410935,10–20%,0,0
26425,0.08494983,0–10%,0,0
1046,0.17085543,10–20%,0,1
19773,0.07902311,0–10%,0,0
14583,0.59389704,50–60%,1,1
13473,0.06501673,0–10%,0,0
24176,0.30810052,30–40%,1,0
9036,0.16298136,10–20%,0,0
21393,0.32546005,30–40%,1,1
11850,0.27034572,20–30%,0,1
1132,0.7160356,70–80%,1,0
25282,0.11853146,10–20%,0,0
22533,0.10138039,10–20%,0,0
15692,0.18531853,10–20%,0,0
17399,0.11972355,10–20%,0,0
8351,0.1090196,10–20%,0,0
19582,0.09966806,0–10%,0,0
19697,0.79743767,70–80%,1,1
11946,0.39107618,30–40%,1,1
20513,0.19517045,10–20%,0,0
3926,0.19716325,10–20%,0,0
23501,0.38355646,30–40%,1,0
2656,0.37584615,30–40%,1,1
17182,0.04677277,0–10%,0,0
26570,0.18204258,10–20%,0,0
11067,0.20380743,20–30%,0,0
28079,0.1378508,10–20%,0,0
26224,0.08282528,0–10%,0,0
17282,0.21510646,20–30%,0,1
4310,0.18647544,10–20%,0,0
9718,0.2597245,20–30%,0,1
7448,0.05605182,0–10%,0,0
7937,0.09887075,0–10%,0,0
28866,0.09259949,0–10%,0,0
6347,0.37421665,30–40%,1,0
20912,0.23820716,20–30%,0,0
7017,0.18490776,10–20%,0,0
1942,0.14279774,10–20%,0,0
9818,0.11554913,10–20%,0,0
19996,0.15356365,10–20%,0,1
17720,0.235027,20–30%,0,0
15674,0.21442233,20–30%,0,0
10311,0.093371876,0–10%,0,0
20129,0.6917987,60–70%,1,1
18056,0.042589784,0–10%,0,0
14593,0.17234305,10–20%,0,0
27748,0.6008936,60–70%,1,1
4090,0.14345579,10–20%,0,0
19735,0.055398557,0–10%,0,0
26722,0.08294374,0–10%,0,0
19294,0.12010287,10–20%,0,0
9233,0.7313985,70–80%,1,0
14821,0.13768776,10–20%,0,0
23540,0.4078668,40–50%,1,0
16729,0.6026663,60–70%,1,1
17618,0.43332285,40–50%,1,1
21998,0.05503679,0–10%,0,0
23642,0.08216085,0–10%,0,0
14973,0.8676676,80–90%,1,1
9502,0.095336035,0–10%,0,0
2751,0.3143566,30–40%,1,0
25476,0.08199775,0–10%,0,0
10324,0.1085174,10–20%,0,0
4072,0.06302906,0–10%,0,0
6882,0.030737568,0–10%,0,0
7146,0.16077858,10–20%,0,0
16125,0.76183254,70–80%,1,1
18093,0.11183162,10–20%,0,0
19645,0.0570528,0–10%,0,0
3864,0.15895239,10–20%,0,0
29015,0.7611852,70–80%,1,1
6816,0.046654377,0–10%,0,0
13741,0.09669665,0–10%,0,1
14254,0.2778533,20–30%,0,0
9011,0.62539107,60–70%,1,1
197,0.14708678,10–20%,0,0
7006,0.15670124,10–20%,0,0
8331,0.10915165,10–20%,0,0
17482,0.768293,70–80%,1,1
14915,0.041370884,0–10%,0,0
6463,0.061844997,0–10%,0,0
27676,0.07555023,0–10%,0,0
4516,0.23080452,20–30%,0,0
18621,0.20229642,20–30%,0,0
19847,0.28746465,20–30%,0,0
1496,0.8622932,80–90%,1,1
13145,0.08737206,0–10%,0,0
7814,0.123385325,10–20%,0,0
15373,0.09833557,0–10%,0,0
22790,0.2535702,20–30%,0,0
2939,0.041386195,0–10%,0,0
22035,0.06700218,0–10%,0,0
10372,0.15655047,10–20%,0,0
19930,0.1363195,10–20%,0,0
25236,0.09766263,0–10%,0,0
27368,0.3311572,30–40%,1,0
8107,0.17269436,10–20%,0,0
15960,0.047625694,0–10%,0,0
28298,0.13732621,10–20%,0,0
17846,0.76036346,70–80%,1,1
14303,0.26397577,20–30%,0,0
29681,0.21248826,20–30%,0,1
3951,0.13151293,10–20%,0,0
23767,0.28990534,20–30%,0,0
11083,0.34406188,30–40%,1,1
8946,0.26144657,20–30%,0,0
12870,0.20857032,20–30%,0,1
10337,0.81132376,80–90%,1,1
15112,0.17395276,10–20%,0,0
13900,0.1586613,10–20%,0,0
5263,0.07345155,0–10%,0,0
28532,0.6480499,60–70%,1,1
10651,0.17390323,10–20%,0,0
25425,0.12896816,10–20%,0,0
21511,0.30168033,30–40%,1,1
14662,0.018530704,0–10%,0,0
4430,0.043987077,0–10%,0,0
13347,0.25576672,20–30%,0,0
27766,0.31918377,30–40%,1,1
1757,0.29096588,20–30%,0,0
28361,0.08908428,0–10%,0,0
29141,0.031624023,0–10%,0,0
21661,0.13191648,10–20%,0,0
21806,0.11364977,10–20%,0,0
14513,0.08273891,0–10%,0,0
29214,0.53490597,50–60%,1,1
25901,0.13162693,10–20%,0,0
24207,0.045075692,0–10%,0,0
2470,0.8032263,80–90%,1,1
